uid	code	category	long_description	short_description
944957	48379	1		Digestive system
944958	48380	1		Digestive system
944959	48381	1		Digestive system
944960	48382	1		Digestive system
944961	48383	1		Digestive system
944962	48384	1		Digestive system
944963	48385	1		Digestive system
944964	48386	1		Digestive system
944965	48387	1		Digestive system
944966	48388	1		Digestive system
944967	48389	1		Digestive system
944968	48390	1		Digestive system
944969	48391	1		Digestive system
944970	48392	1		Digestive system
944971	48393	1		Digestive system
944972	48394	1		Digestive system
944973	48395	1		Digestive system
944974	48396	1		Digestive system
944975	48397	1		Digestive system
944976	48398	1		Digestive system
944977	48399	1		Digestive system
944978	48400	1		Digestive system
944979	48401	1		Digestive system
944980	48402	1		Digestive system
944981	48403	1		Digestive system
944982	48404	1		Digestive system
944983	48405	1		Digestive system
944984	48406	1		Digestive system
944985	48407	1		Digestive system
944986	48408	1		Digestive system
944987	48409	1		Digestive system
944988	48410	1		Digestive system
944989	48411	1		Digestive system
944990	48412	1		Digestive system
944991	48413	1		Digestive system
944992	48414	1		Digestive system
944993	48415	1		Digestive system
944994	48416	1		Digestive system
944995	48417	1		Digestive system
944996	48418	1		Digestive system
944997	48419	1		Digestive system
944998	48420	1		Digestive system
944999	48421	1		Digestive system
945000	48422	1		Digestive system
945001	48423	1		Digestive system
945002	48424	1		Digestive system
945003	48425	1		Digestive system
945004	48426	1		Digestive system
945005	48427	1		Digestive system
945006	48428	1		Digestive system
945007	48429	1		Digestive system
945008	48430	1		Digestive system
945009	48431	1		Digestive system
945010	48432	1		Digestive system
945011	48433	1		Digestive system
945012	48434	1		Digestive system
945013	48435	1		Digestive system
945014	48436	1		Digestive system
945015	48437	1		Digestive system
945016	48438	1		Digestive system
945017	48439	1		Digestive system
945018	48440	1		Digestive system
945019	48441	1		Digestive system
945020	48442	1		Digestive system
945021	48443	1		Digestive system
945022	48444	1		Digestive system
945023	48445	1		Digestive system
945024	48446	1		Digestive system
945025	48447	1		Digestive system
945026	48448	1		Digestive system
945027	48449	1		Digestive system
945028	48450	1		Digestive system
945029	48451	1		Digestive system
945030	48452	1		Digestive system
945031	48453	1		Digestive system
945032	48454	1		Digestive system
945033	48455	1		Digestive system
945034	48456	1		Digestive system
945035	48457	1		Digestive system
945036	48458	1		Digestive system
945037	48459	1		Digestive system
945038	48460	1		Digestive system
945039	48461	1		Digestive system
945040	48462	1		Digestive system
945041	48463	1		Digestive system
945042	48464	1		Digestive system
945043	48465	1		Digestive system
945044	48466	1		Digestive system
945045	48467	1		Digestive system
945046	48468	1		Digestive system
945047	48469	1		Digestive system
945048	48470	1		Digestive system
945049	48471	1		Digestive system
945050	48472	1		Digestive system
945051	48473	1		Digestive system
945052	48474	1		Digestive system
945053	48475	1		Digestive system
945054	48476	1		Digestive system
945055	48477	1		Digestive system
945056	48478	1		Digestive system
945057	48479	1		Digestive system
945058	48480	1		Digestive system
945059	48481	1		Digestive system
945060	48482	1		Digestive system
945061	48483	1		Digestive system
945062	48484	1		Digestive system
945063	48485	1		Digestive system
945064	48486	1		Digestive system
945065	48487	1		Digestive system
945066	48488	1		Digestive system
945067	48489	1		Digestive system
945068	48490	1		Digestive system
945069	48491	1		Digestive system
945070	48492	1		Digestive system
945071	48493	1		Digestive system
945072	48494	1		Digestive system
945073	48495	1		Digestive system
945074	48496	1		Digestive system
945075	48497	1		Digestive system
945076	48498	1		Digestive system
945077	48499	1		Digestive system
945078	48500	1		Digestive system
945079	48501	1		Digestive system
945080	48502	1		Digestive system
945081	48503	1		Digestive system
945082	48504	1		Digestive system
945083	48505	1		Digestive system
945084	48506	1		Digestive system
945085	48507	1		Digestive system
945086	48508	1		Digestive system
945087	48509	1		Digestive system
945088	48510	1		Digestive system
945089	48511	1		Digestive system
945090	48512	1		Digestive system
945091	48513	1		Digestive system
945092	48514	1		Digestive system
945093	48515	1		Digestive system
945094	48516	1		Digestive system
945095	48517	1		Digestive system
945096	48518	1		Digestive system
945097	48519	1		Digestive system
945098	48520	1		Digestive system
945099	48521	1		Digestive system
945100	48522	1		Digestive system
945101	48523	1		Digestive system
945102	48524	1		Digestive system
945103	48525	1		Digestive system
945104	48526	1		Digestive system
945105	48527	1		Digestive system
945106	48528	1		Digestive system
945107	48529	1		Digestive system
945108	48530	1		Digestive system
945109	48531	1		Digestive system
945110	48532	1		Digestive system
945111	48533	1		Digestive system
945112	48534	1		Digestive system
945113	48535	1		Digestive system
945114	48536	1		Digestive system
945115	48537	1		Digestive system
945116	48538	1		Digestive system
945117	48539	1		Digestive system
945118	48540	1		Digestive system
945119	48541	1		Digestive system
945120	48542	1		Digestive system
945121	48543	1		Digestive system
945122	48544	1		Digestive system
945123	48545	1		Digestive system
945124	48546	1		Digestive system
945125	48547	1		Digestive system
945126	48548	1		Digestive system
945127	48549	1		Digestive system
945128	48550	1		Digestive system
945129	48551	1		Digestive system
945130	48552	1		Digestive system
945131	48553	1		Digestive system
945132	48554	1		Digestive system
945133	48555	1		Digestive system
945134	48556	1		Digestive system
945135	48557	1		Digestive system
945136	48558	1		Digestive system
945137	48559	1		Digestive system
945138	48560	1		Digestive system
945139	48561	1		Digestive system
945140	48562	1		Digestive system
945141	48563	1		Digestive system
945142	48564	1		Digestive system
945143	48565	1		Digestive system
945144	48566	1		Digestive system
945145	48567	1		Digestive system
945146	48568	1		Digestive system
945147	48569	1		Digestive system
945148	48570	1		Digestive system
945149	48571	1		Digestive system
945150	48572	1		Digestive system
945151	48573	1		Digestive system
945152	48574	1		Digestive system
945153	48575	1		Digestive system
945154	48576	1		Digestive system
945155	48577	1		Digestive system
945156	48578	1		Digestive system
945157	48579	1		Digestive system
945158	48580	1		Digestive system
945159	48581	1		Digestive system
945160	48582	1		Digestive system
945161	48583	1		Digestive system
945162	48584	1		Digestive system
945163	48585	1		Digestive system
945164	48586	1		Digestive system
945165	48587	1		Digestive system
945166	48588	1		Digestive system
945167	48589	1		Digestive system
945168	48590	1		Digestive system
945169	48591	1		Digestive system
945170	48592	1		Digestive system
945171	48593	1		Digestive system
945172	48594	1		Digestive system
945173	48595	1		Digestive system
945174	48596	1		Digestive system
945175	48597	1		Digestive system
945176	48598	1		Digestive system
945177	48599	1		Digestive system
945178	48600	1		Digestive system
945179	48601	1		Digestive system
945180	48602	1		Digestive system
945181	48603	1		Digestive system
945182	48604	1		Digestive system
945183	48605	1		Digestive system
945184	48606	1		Digestive system
945185	48607	1		Digestive system
945186	48608	1		Digestive system
945187	48609	1		Digestive system
945188	48610	1		Digestive system
945189	48611	1		Digestive system
945190	48612	1		Digestive system
945191	48613	1		Digestive system
945192	48614	1		Digestive system
945193	48615	1		Digestive system
945194	48616	1		Digestive system
945195	48617	1		Digestive system
945196	48618	1		Digestive system
945197	48619	1		Digestive system
945198	48620	1		Digestive system
945199	48621	1		Digestive system
945200	48622	1		Digestive system
945201	48623	1		Digestive system
945202	48624	1		Digestive system
945203	48625	1		Digestive system
945204	48626	1		Digestive system
945205	48627	1		Digestive system
945206	48628	1		Digestive system
945207	48629	1		Digestive system
945208	48630	1		Digestive system
945209	48631	1		Digestive system
945210	48632	1		Digestive system
945211	48633	1		Digestive system
945212	48634	1		Digestive system
945213	48635	1		Digestive system
945214	48636	1		Digestive system
945215	48637	1		Digestive system
945216	48638	1		Digestive system
945217	48639	1		Digestive system
945218	48640	1		Digestive system
945219	48641	1		Digestive system
945220	48642	1		Digestive system
945221	48643	1		Digestive system
945222	48644	1		Digestive system
945223	48645	1		Digestive system
945224	48646	1		Digestive system
945225	48647	1		Digestive system
945226	48648	1		Digestive system
945227	48649	1		Digestive system
945228	48650	1		Digestive system
945229	48651	1		Digestive system
945230	48652	1		Digestive system
945231	48653	1		Digestive system
945232	48654	1		Digestive system
945233	48655	1		Digestive system
945234	48656	1		Digestive system
945235	48657	1		Digestive system
945236	48658	1		Digestive system
945237	48659	1		Digestive system
945238	48660	1		Digestive system
945239	48661	1		Digestive system
945240	48662	1		Digestive system
945241	48663	1		Digestive system
945242	48664	1		Digestive system
945243	48665	1		Digestive system
945244	48666	1		Digestive system
945245	48667	1		Digestive system
945246	48668	1		Digestive system
945247	48669	1		Digestive system
945248	48670	1		Digestive system
945249	48671	1		Digestive system
945250	48672	1		Digestive system
945251	48673	1		Digestive system
945252	48674	1		Digestive system
945253	48675	1		Digestive system
945254	48676	1		Digestive system
945255	48677	1		Digestive system
945256	48678	1		Digestive system
945257	48679	1		Digestive system
945258	48680	1		Digestive system
945259	48681	1		Digestive system
945260	48682	1		Digestive system
945261	48683	1		Digestive system
945262	48684	1		Digestive system
945263	48685	1		Digestive system
945264	48686	1		Digestive system
945265	48687	1		Digestive system
945266	48688	1		Digestive system
945267	48689	1		Digestive system
945268	48690	1		Digestive system
945269	48691	1		Digestive system
945270	48692	1		Digestive system
945271	48693	1		Digestive system
945272	48694	1		Digestive system
945273	48695	1		Digestive system
945274	48696	1		Digestive system
945275	48697	1		Digestive system
945276	48698	1		Digestive system
945277	48699	1		Digestive system
945278	48700	1		Digestive system
945279	48701	1		Digestive system
945280	48702	1		Digestive system
945281	48703	1		Digestive system
945282	48704	1		Digestive system
945283	48705	1		Digestive system
945284	48706	1		Digestive system
945285	48707	1		Digestive system
945286	48708	1		Digestive system
945287	48709	1		Digestive system
945288	48710	1		Digestive system
945289	48711	1		Digestive system
945290	48712	1		Digestive system
945291	48713	1		Digestive system
945292	48714	1		Digestive system
945293	48715	1		Digestive system
945294	48716	1		Digestive system
945295	48717	1		Digestive system
945296	48718	1		Digestive system
945297	48719	1		Digestive system
945298	48720	1		Digestive system
945299	48721	1		Digestive system
945300	48722	1		Digestive system
945301	48723	1		Digestive system
945302	48724	1		Digestive system
945303	48725	1		Digestive system
945304	48726	1		Digestive system
945305	48727	1		Digestive system
945306	48728	1		Digestive system
945307	48729	1		Digestive system
945308	48730	1		Digestive system
945309	48731	1		Digestive system
945310	48732	1		Digestive system
945311	48733	1		Digestive system
945312	48734	1		Digestive system
945313	48735	1		Digestive system
945314	48736	1		Digestive system
945315	48737	1		Digestive system
945316	48738	1		Digestive system
945317	48739	1		Digestive system
945318	48740	1		Digestive system
945319	48741	1		Digestive system
945320	48742	1		Digestive system
945321	48743	1		Digestive system
945322	48744	1		Digestive system
